in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
a dog and,0.217675 Text_1.txt Text_2.txt 
a fourteen year,0.217675 Text_1.txt 
a higher,0.653026 Text_1.txt 
a lot,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
a meta,0.217675 Text_1.txt 
a paper,0.217675 Text_1.txt Text_2.txt 
a reduced risk,0.43535 Text_1.txt 
a sweet,0.217675 Text_1.txt 
a whole however,0.217675 Text_1.txt 
about three,0.217675 Text_1.txt 
according,0.217675 Text_1.txt Text_2.txt Text_3.txt 
across the,0.217675 Text_1.txt Text_2.txt 
activity,0.43535 Text_1.txt Text_2.txt 
adding more,0.217675 Text_1.txt 
adolescence,0.653026 Text_1.txt 
after,0.43535 Text_1.txt Text_2.txt Text_5.txt 
against several,0.217675 Text_1.txt 
ago It,0.217675 Text_1.txt Text_2.txt 
all the video,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
also demonstrated a,0.217675 Text_1.txt 
amount,0.43535 Text_1.txt 
an irritable,0.217675 Text_1.txt 
and basal like,0.217675 Text_1.txt 
and corn during,0.217675 Text_1.txt 
and fifty one,0.217675 Text_1.txt 
and longest study,0.217675 Text_1.txt 
and peas and,0.217675 Text_1.txt 
and stroke prevent,0.217675 Text_1.txt 
and vegetables exist,0.217675 Text_1.txt 
another food such,0.217675 Text_1.txt 
apples was associated,0.217675 Text_1.txt 
area,0.43535 Text_1.txt Text_4.txt 
around it if,0.217675 Text_1.txt Text_2.txt 
as lettuce,0.43535 Text_1.txt 
associated with,2.82978 Text_1.txt Text_2.txt 
at least one,0.43535 Text_1.txt Text_2.txt 
averaged eight or,0.217675 Text_1.txt 
bananas grapes,0.217675 Text_1.txt 
based products,0.217675 Text_1.txt 
be associated with,0.217675 Text_1.txt 
be more,0.217675 Text_1.txt Text_2.txt Text_3.txt 
because they,0.217675 Text_1.txt 
been great at,0.217675 Text_1.txt Text_2.txt 
being,0.870701 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
berries,0.217675 Text_1.txt 
billion from an,0.217675 Text_1.txt Text_2.txt Text_3.txt 
blood pressure reduce,0.217675 Text_1.txt 
board According to,0.217675 Text_1.txt Text_2.txt 
boost,0.217675 Text_1.txt Text_2.txt 
bowel,0.43535 Text_1.txt 
bread and,0.217675 Text_1.txt 
broccoli,0.43535 Text_1.txt 
but hes slipped,0.217675 Text_1.txt Text_2.txt Text_3.txt 
cabbage,0.43535 Text_1.txt 
can be,1.30605 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
can have,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
can lower blood,0.217675 Text_1.txt 
cancer A,0.217675 Text_1.txt 
cancer Lycopene,0.217675 Text_1.txt 
cancer There,0.217675 Text_1.txt 
cancer as,0.217675 Text_1.txt 
cancer later,0.217675 Text_1.txt 
cancers,0.43535 Text_1.txt 
capitalised,0.217675 Text_1.txt Text_2.txt Text_3.txt 
card is,0.217675 Text_1.txt Text_2.txt Text_3.txt 
carotenoids may,0.217675 Text_1.txt 
cats The,0.217675 Text_1.txt Text_2.txt 
causal relationship between,0.217675 Text_1.txt Text_2.txt 
check,0.217675 Text_1.txt 
choice,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
citrus,0.43535 Text_1.txt 
clinical trials and,0.217675 Text_1.txt 
cohort studies following,0.217675 Text_1.txt 
colour,0.217675 Text_1.txt 
combined findings from,0.217675 Text_1.txt 
comment on,0.217675 Text_1.txt Text_2.txt Text_3.txt 
company,0.43535 Text_1.txt Text_2.txt Text_3.txt 
compelling evidence that,0.217675 Text_1.txt 
concerns,0.217675 Text_1.txt Text_2.txt Text_3.txt 
constant,0.217675 Text_1.txt Text_2.txt 
consumption of tomato,0.217675 Text_1.txt 
content,0.217675 Text_1.txt Text_2.txt Text_3.txt 
control studies,0.43535 Text_1.txt 
corn and,0.217675 Text_1.txt 
counselled,0.217675 Text_1.txt Text_2.txt Text_3.txt 
crackers,0.217675 Text_1.txt 
credit,0.43535 Text_1.txt Text_2.txt Text_3.txt 
cropped t,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
cut that,0.217675 Text_1.txt Text_5.txt 
daily,0.870701 Text_1.txt Text_2.txt 
dairy,0.217675 Text_1.txt 
date,0.217675 Text_1.txt 
day compared with,0.217675 Text_1.txt 
day were,0.43535 Text_1.txt 
death,0.43535 Text_1.txt Text_2.txt 
declined to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
demonstrated,0.217675 Text_1.txt 
designated gaming,0.217675 Text_1.txt Text_2.txt Text_3.txt 
detox,0.217675 Text_1.txt Text_2.txt Text_3.txt 
developed,0.217675 Text_1.txt 
diabetes Another,0.217675 Text_1.txt 
diastolic blood,0.217675 Text_1.txt 
diet reduced,0.217675 Text_1.txt 
dietary habits,0.217675 Text_1.txt 
digestive problems,0.217675 Text_1.txt 
disease Cardiovascular disease,0.217675 Text_1.txt 
disease with an,0.217675 Text_1.txt 
divorce service says,0.217675 Text_1.txt Text_2.txt Text_3.txt 
dog owners,0.43535 Text_1.txt Text_2.txt 
dogs,2.39443 Text_1.txt Text_2.txt 
dogs make,0.217675 Text_1.txt Text_2.txt 
domesticated,0.217675 Text_1.txt Text_2.txt 
drawn,0.217675 Text_1.txt Text_2.txt Text_3.txt 
each,1.08838 Text_1.txt 
easier,0.217675 Text_1.txt Text_2.txt Text_3.txt 
eat more,0.217675 Text_1.txt 
echoed,0.217675 Text_1.txt Text_2.txt Text_3.txt 
effect Individuals who,0.217675 Text_1.txt 
eight to,0.217675 Text_1.txt 
electronics being,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
enforced exercise,0.217675 Text_1.txt Text_2.txt 
enriched and,0.217675 Text_1.txt 
entire publication,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
especially aggressive forms,0.217675 Text_1.txt 
estimated,0.217675 Text_1.txt Text_2.txt 
even,0.653026 Text_1.txt Text_2.txt 
every two,0.217675 Text_1.txt 
exact relationship,0.217675 Text_1.txt 
excessively,0.217675 Text_1.txt Text_3.txt 
existing literature,0.217675 Text_1.txt Text_2.txt 
extreme violence,0.217675 Text_1.txt Text_2.txt Text_3.txt 
eye appealing meals,0.217675 Text_1.txt 
facing stress and,0.217675 Text_1.txt Text_2.txt 
falls,0.217675 Text_1.txt Text_2.txt Text_3.txt 
fans he,0.217675 Text_1.txt Text_2.txt Text_3.txt 
favourite teams,0.217675 Text_1.txt Text_2.txt Text_3.txt 
few opportunities,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
fewest,0.217675 Text_1.txt 
fibre intakes,0.43535 Text_1.txt 
fifty one participants,0.217675 Text_1.txt 
find them,0.217675 Text_1.txt Text_3.txt Text_4.txt 
first time in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
five servings,0.43535 Text_1.txt 
follow large groups,0.217675 Text_1.txt 
food such,0.217675 Text_1.txt 
for each,0.217675 Text_1.txt 
for leisure,0.217675 Text_1.txt Text_2.txt 
for their,0.43535 Text_1.txt Text_2.txt 
forty,0.653026 Text_1.txt Text_2.txt 
found that consumption,0.217675 Text_1.txt 
four percent,0.217675 Text_1.txt 
fourteen a,0.217675 Text_1.txt 
friend,0.217675 Text_1.txt Text_2.txt 
fries,0.217675 Text_1.txt 
from cardiovascular disease,0.217675 Text_1.txt 
from the,1.95908 Text_1.txt Text_2.txt Text_5.txt 
fruit during adolescence,0.217675 Text_1.txt 
fruits and,4.3535 Text_1.txt 
fruits like,0.217675 Text_1.txt 
game addiction Once,0.217675 Text_1.txt Text_2.txt Text_3.txt 
games In,0.217675 Text_1.txt Text_2.txt Text_3.txt 
garlic,0.217675 Text_1.txt 
get by,0.217675 Text_1.txt Text_2.txt 
getting him to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
go to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
grapes,0.43535 Text_1.txt 
group therapy,0.217675 Text_1.txt Text_2.txt Text_3.txt 
had eaten,0.217675 Text_1.txt 
happier more,0.217675 Text_1.txt Text_2.txt 
has been,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have been,0.870701 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have not consistently,0.217675 Text_1.txt 
having,0.217675 Text_1.txt Text_2.txt 
he sees the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
healthy,0.870701 Text_1.txt Text_3.txt 
hes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
his,0.870701 Text_1.txt Text_2.txt Text_3.txt 
hook,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
hours and get,0.217675 Text_1.txt Text_2.txt Text_3.txt 
however,0.217675 Text_1.txt 
hundred and sixty,0.217675 Text_1.txt 
if you,0.43535 Text_1.txt Text_2.txt Text_4.txt 
in Santa,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in breast,0.217675 Text_1.txt 
in good,0.43535 Text_1.txt Text_2.txt Text_4.txt 
in the,2.39443 Text_1.txt Text_2.txt Text_4.txt 
included almost one,0.217675 Text_1.txt 
increasing,0.217675 Text_1.txt 
information than,0.217675 Text_1.txt 
intake less,0.217675 Text_1.txt 
intakes of,0.43535 Text_1.txt 
interview,0.217675 Text_1.txt Text_2.txt Text_3.txt 
into the,0.43535 Text_1.txt Text_4.txt 
involved in this,0.217675 Text_1.txt 
is fighting,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is one,0.217675 Text_1.txt 
is unclear,0.217675 Text_1.txt Text_2.txt 
issue Video,0.217675 Text_1.txt Text_2.txt Text_3.txt 
it a meal,0.217675 Text_1.txt 
it needs,0.217675 Text_1.txt 
its hard,0.217675 Text_1.txt Text_2.txt Text_3.txt 
joystick,0.217675 Text_1.txt Text_2.txt Text_3.txt 
juices at,0.217675 Text_1.txt 
just,1.95908 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
just causing problems,0.217675 Text_1.txt Text_3.txt 
kale and,0.217675 Text_1.txt 
keep you,0.217675 Text_1.txt Text_2.txt 
kids,1.7414 Text_1.txt Text_2.txt Text_3.txt 
knowing,0.217675 Text_1.txt Text_2.txt Text_3.txt 
last year claims,0.217675 Text_1.txt Text_2.txt 
least nine,0.217675 Text_1.txt 
lemons,0.217675 Text_1.txt 
less than,0.43535 Text_1.txt 
lifestyle,0.43535 Text_1.txt Text_2.txt 
like a medium,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
like the astronaut,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
line of,0.217675 Text_1.txt 
literature show These,0.217675 Text_1.txt Text_2.txt 
logging,0.217675 Text_1.txt Text_2.txt Text_3.txt 
look like,0.43535 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
looking into how,0.217675 Text_1.txt Text_2.txt 
lose Adair,0.217675 Text_1.txt Text_2.txt Text_3.txt 
lost substantial amounts,0.217675 Text_1.txt Text_3.txt 
lower risk of,1.95908 Text_1.txt Text_2.txt 
lunar,0.870701 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
made,0.653026 Text_1.txt Text_3.txt 
make us,0.217675 Text_1.txt Text_2.txt 
mass,0.217675 Text_1.txt Text_3.txt 
material,0.217675 Text_1.txt Text_2.txt 
may appear,0.217675 Text_1.txt Text_2.txt 
meal,0.217675 Text_1.txt 
men,1.30605 Text_1.txt 
merchandise in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
minds,0.217675 Text_1.txt Text_2.txt Text_3.txt 
moderate,0.217675 Text_1.txt Text_2.txt 
moon s,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
more likely possibility,0.217675 Text_1.txt 
more slowly,0.217675 Text_1.txt 
mouth throat,0.217675 Text_1.txt 
my,1.52373 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
nannygai than,0.217675 Text_1.txt Text_4.txt 
new parents,0.217675 Text_1.txt Text_2.txt Text_3.txt 
no,0.870701 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
not consistently shown,0.217675 Text_1.txt 
notes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
nutrients,0.43535 Text_1.txt 
of Harvard,0.217675 Text_1.txt Text_2.txt 
of an,0.43535 Text_1.txt Text_5.txt 
of cardiovascular disease,0.43535 Text_1.txt 
of developing,0.43535 Text_1.txt 
of estrogen,0.217675 Text_1.txt 
of forty,0.217675 Text_1.txt Text_2.txt 
of fruits,2.17675 Text_1.txt 
of initially healthy,0.217675 Text_1.txt 
of many scientific,0.217675 Text_1.txt Text_2.txt 
of nannies,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of other,0.653026 Text_1.txt Text_3.txt 
of over two,0.217675 Text_1.txt 
of research,0.43535 Text_1.txt 
of saturated,0.217675 Text_1.txt 
of the carbohydrate,0.217675 Text_1.txt 
of tomato,0.217675 Text_1.txt 
of wrist problems,0.217675 Text_1.txt Text_3.txt 
old son,0.217675 Text_1.txt Text_2.txt Text_3.txt 
on the,2.39443 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
one,4.13583 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
onions and,0.217675 Text_1.txt 
opportunities to,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
or have,0.217675 Text_1.txt 
or store,0.217675 Text_1.txt 
oranges,0.43535 Text_1.txt 
other leafy,0.217675 Text_1.txt 
our well,0.43535 Text_1.txt Text_2.txt 
over two,0.217675 Text_1.txt 
owners faces,0.217675 Text_1.txt Text_2.txt 
paper published,0.217675 Text_1.txt Text_2.txt 
parents teachers,0.217675 Text_1.txt Text_2.txt Text_3.txt 
passes,0.217675 Text_1.txt 
peas and,0.217675 Text_1.txt 
people tend,0.217675 Text_1.txt Text_2.txt 
per day,0.653026 Text_1.txt 
percent less likely,0.217675 Text_1.txt 
period in the,0.217675 Text_1.txt 
pet owners,0.217675 Text_1.txt Text_2.txt 
physical,0.653026 Text_1.txt Text_2.txt 
pitcher for,0.217675 Text_1.txt Text_2.txt Text_3.txt 
play Fortnite which,0.217675 Text_1.txt Text_2.txt Text_3.txt 
playing video games,0.217675 Text_1.txt Text_3.txt 
positive,0.217675 Text_1.txt 
potentially hundreds of,0.217675 Text_1.txt 
pressure of,0.217675 Text_1.txt 
prevents cancer For,0.217675 Text_1.txt 
produce in,0.217675 Text_1.txt 
prominent,0.217675 Text_1.txt Text_2.txt 
protect against,0.653026 Text_1.txt 
protective,0.653026 Text_1.txt 
psychologist,0.217675 Text_1.txt Text_2.txt Text_3.txt 
put a,0.217675 Text_1.txt Text_2.txt 
randomised,0.217675 Text_1.txt 
ready to eat,0.217675 Text_1.txt 
recent studies including,0.217675 Text_1.txt Text_2.txt 
red,1.08838 Text_1.txt Text_4.txt 
reduce the risk,0.43535 Text_1.txt 
reduced their,0.217675 Text_1.txt 
refined carbohydrates,0.217675 Text_1.txt 
related,0.217675 Text_1.txt Text_2.txt 
rely on,0.217675 Text_1.txt 
research,1.52373 Text_1.txt Text_2.txt 
researchers,0.653026 Text_1.txt Text_2.txt 
revealed,0.217675 Text_1.txt 
right,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
risk of death,0.217675 Text_1.txt 
risk of type,0.870701 Text_1.txt 
rocks are my,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
rule for,0.217675 Text_1.txt Text_4.txt 
s risk of,0.217675 Text_1.txt Text_2.txt 
said Lorrine Marer,0.217675 Text_1.txt Text_2.txt Text_3.txt 
same,0.43535 Text_1.txt Text_4.txt 
scammers but,0.217675 Text_1.txt Text_2.txt Text_3.txt 
schools Generally,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
search,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
searching for weapons,0.217675 Text_1.txt Text_2.txt Text_3.txt 
seek reimbursement,0.217675 Text_1.txt Text_2.txt Text_3.txt 
separately,0.217675 Text_1.txt 
servings of,0.653026 Text_1.txt 
seventy,0.870701 Text_1.txt Text_2.txt 
several ready to,0.217675 Text_1.txt 
sharks are,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
short shorts,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
shown,0.217675 Text_1.txt 
six mm Hg,0.217675 Text_1.txt 
skins,0.217675 Text_1.txt Text_2.txt Text_3.txt 
smile,0.217675 Text_1.txt Text_2.txt 
social,0.217675 Text_1.txt Text_3.txt 
some progress,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sounder,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
soy,0.217675 Text_1.txt 
spacesuits,0.43535 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
specialist who,0.217675 Text_1.txt Text_2.txt Text_3.txt 
spent,0.217675 Text_1.txt Text_2.txt 
spinach Swiss,0.217675 Text_1.txt 
standing Teachers,0.217675 Text_1.txt Text_2.txt Text_3.txt 
start against the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
stir,0.217675 Text_1.txt 
stress and,0.217675 Text_1.txt Text_2.txt 
strongly associated,0.43535 Text_1.txt 
studies in,0.217675 Text_1.txt 
study examined,0.217675 Text_1.txt 
substantial amounts,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sufficient to,0.217675 Text_1.txt Text_2.txt 
suggested that,0.217675 Text_1.txt Text_2.txt 
summer,0.43535 Text_1.txt Text_2.txt Text_3.txt 
surface,1.08838 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
sweet,0.217675 Text_1.txt 
systolic blood pressure,0.217675 Text_1.txt 
take,0.217675 Text_1.txt Text_2.txt Text_4.txt 
talk,0.217675 Text_1.txt Text_2.txt 
tamed twenty to,0.217675 Text_1.txt Text_2.txt 
team,0.217675 Text_1.txt 
technology detox their,0.217675 Text_1.txt Text_2.txt Text_3.txt 
ten from,0.217675 Text_1.txt Text_3.txt 
tend,0.217675 Text_1.txt Text_2.txt 
than,2.82978 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
than the,0.217675 Text_1.txt 
than two,0.217675 Text_1.txt Text_2.txt Text_3.txt 
that,12.4075 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
that are,0.43535 Text_1.txt 
that could make,0.217675 Text_1.txt Text_2.txt Text_3.txt 
that greater consumption,0.43535 Text_1.txt 
that humans,0.217675 Text_1.txt Text_2.txt 
that involved,0.217675 Text_1.txt Text_3.txt 
that people,0.43535 Text_1.txt Text_2.txt 
that some,0.217675 Text_1.txt 
that was,0.217675 Text_1.txt 
the Harvard studies,0.217675 Text_1.txt 
the World,0.217675 Text_1.txt 
the body can,0.217675 Text_1.txt 
the digestive,0.217675 Text_1.txt 
the goal,0.217675 Text_1.txt Text_2.txt Text_3.txt 
the lower,0.43535 Text_1.txt 
the number of,0.43535 Text_1.txt Text_4.txt 
the produce,0.217675 Text_1.txt 
the subject,0.217675 Text_1.txt Text_2.txt Text_3.txt 
their,3.70048 Text_1.txt Text_2.txt Text_3.txt 
them mentioned,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
they found,0.217675 Text_1.txt 
this benefit,0.217675 Text_1.txt 
thousand men and,0.217675 Text_1.txt 
throat,0.43535 Text_1.txt 
time sometimes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
to assist them,0.217675 Text_1.txt Text_2.txt 
to forty,0.217675 Text_1.txt Text_2.txt 
to invest,0.217675 Text_1.txt Text_3.txt 
to rehab,0.217675 Text_1.txt Text_3.txt 
to the enforced,0.217675 Text_1.txt Text_2.txt 
to walk,0.217675 Text_1.txt Text_2.txt 
tooth Explore the,0.217675 Text_1.txt 
trial,0.217675 Text_1.txt 
turn into vitamin,0.217675 Text_1.txt 
twenty,1.95908 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
twice,0.43535 Text_1.txt Text_2.txt Text_3.txt 
two diabetes Another,0.217675 Text_1.txt 
type,1.08838 Text_1.txt Text_4.txt 
types of cancers,0.217675 Text_1.txt 
unhooked,0.217675 Text_1.txt Text_2.txt Text_3.txt 
up Study men,0.217675 Text_1.txt 
usual nanny,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
vegetable intake,0.43535 Text_1.txt 
vegetables each day,0.217675 Text_1.txt 
vegetables legumes,0.217675 Text_1.txt 
vegetables red fruits,0.217675 Text_1.txt 
very,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
video games In,0.217675 Text_1.txt Text_2.txt Text_3.txt 
voice,0.217675 Text_1.txt 
walks,0.217675 Text_1.txt Text_2.txt 
was,3.26513 Text_1.txt Text_3.txt Text_4.txt 
water and,0.217675 Text_1.txt 
weather has,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
were,3.70048 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
were more,0.217675 Text_1.txt 
when,1.95908 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
whether,0.43535 Text_1.txt Text_3.txt 
which these,0.217675 Text_1.txt Text_2.txt 
who ate,1.7414 Text_1.txt 
who had,0.217675 Text_1.txt 
who works,0.217675 Text_1.txt Text_2.txt Text_3.txt 
whom,0.653026 Text_1.txt Text_2.txt 
whose,0.217675 Text_1.txt 
winner on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
with an average,0.217675 Text_1.txt 
with individuals,0.217675 Text_1.txt 
women,2.6121 Text_1.txt 
world,0.653026 Text_1.txt Text_3.txt 
year,1.7414 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
yellow,0.43535 Text_1.txt 
you can see,0.217675 Text_1.txt 
you should,0.217675 Text_1.txt Text_2.txt 
your meals Vegetables,0.217675 Text_1.txt 
A diet rich,0.217675 Text_1.txt 
A line,0.217675 Text_1.txt 
A randomised,0.217675 Text_1.txt 
A simple,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
According to,0.43535 Text_1.txt Text_2.txt 
Adair said,0.217675 Text_1.txt Text_3.txt 
After,0.217675 Text_1.txt 
Also,0.217675 Text_1.txt Text_2.txt 
Although several studies,0.217675 Text_1.txt 
American Society for,0.217675 Text_1.txt Text_2.txt 
And its happening,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Apollo,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
Approaches to Stop,0.217675 Text_1.txt 
As,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Asheville North,0.217675 Text_1.txt Text_2.txt Text_3.txt 
At least,0.217675 Text_1.txt 
Auto,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Baseballs,0.217675 Text_1.txt Text_2.txt Text_3.txt 
British,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Brussels sprouts bok,0.217675 Text_1.txt 
Caledonian,0.217675 Text_1.txt Text_2.txt 
California and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Cam,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Camp for,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Cancer Research suggests,0.217675 Text_1.txt 
Capricorn Coast,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
Cardiovascular disease,0.217675 Text_1.txt 
Carolina last,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Carson has been,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Coast We,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
Coloured,0.217675 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
Compared,0.217675 Text_1.txt 
Connecticut Weigle,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Cruelty to,0.217675 Text_1.txt Text_2.txt 
Dark,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Data,0.217675 Text_1.txt 
Dead,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
Debbie Vitany,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Dietary,0.217675 Text_1.txt 
Dutch,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Eating,0.217675 Text_1.txt 
Epic Games,0.217675 Text_1.txt Text_2.txt Text_3.txt 
Esky Targeting,0.217675 Text_1.txt Text_4.txt 
Europe dogs,0.217675 Text_1.txt Text_2.txt 
Farvid and colleagues,0.43535 Text_1.txt 
Fern ground wonky,0.217675 Text_1.txt Text_3.txt Text_4.txt 
Finnish men showed,0.217675 Text_1.txt 
Follow,1.08838 Text_1.txt 
Football,0.217675 Text_1.txt Text_3.txt 
For example over,0.217675 Text_1.txt 
Fortnite and other,0.217675 Text_1.txt Text_3.txt 
